pdf_source,pdf_section,pdf_page_start,pdf_page_end,pdf_figures_tables,website_path,website_title,website_section,coverage_status,notes
docs/TRO.pdf,11 — Non-METR vs METR user observation / distribution,19,20,,docs/tro-installation-and-implementation.md,TRO Installation and Implementation,Who uses which representation,covered,Also overlaps communications/distribution concepts elsewhere on site
docs/TRO.pdf,12 Coordination of activation (physical and digital),20,21,Figure 9; Figure 10,docs/tro-physical-digital-activation.md,Coordinating Physical and Digital Activation,What travels with a rule; Synchronizing posting and METR; Grace periods; Emergent situations; Rule-maker takeaway,covered,Inception/termination timing; sync; grace periods; emergent activation adapted. Figures 9–10 not published as images
docs/TRO.pdf,12 — Figure 9 Examples on data defining a rule,20,20,Figure 9,(none),,,not_on_website,Attribute examples covered in prose (What travels with a rule); figure not on site
docs/TRO.pdf,12 — Figure 10 Simplified physical/digital implementation,21,21,Figure 10,(none),,,not_on_website,Grace-period concept covered in prose; figure not on site
docs/TRO.pdf,12 — Emergent TRO activation options,21,21,,docs/tro-physical-digital-activation.md,Coordinating Physical and Digital Activation,Emergent situations,covered,Also echoed on tro-proposal-and-approval.md Emergent and field scenarios
docs/TRO.pdf,13 Any other perspective to be described,22,22,,(none),,,not_on_website,PDF placeholder (Tbd); nothing to convert
docs/TRO.pdf,14 Any other perspective to be described,22,22,,(none),,,not_on_website,PDF placeholder (Tbd); nothing to convert
docs/TRO.pdf,Bibliography,22,22,,(none),,,not_on_website,[1] ISO 24315-1 and [2] Handbook N301 cited in PDF; site does not reproduce bibliography page
docs/TRO.pdf,Annex A (informative) — Norwegian implementation / placeholder,23,23,Figure A.1,(none),,,not_on_website,Contents lists Norwegian implementation; body page is still ISO template placeholder text — not converted
docs/TRO.pdf,Annex B (informative) — listed in Contents only,4,4,Figure B.1,(none),,,not_on_website,Listed in Contents; no populated annex body in this draft PDF
docs/TRO.pdf,(n/a — site section hub),,,,docs/rule-maker-perspective.md,Rule Maker Perspective,Introduction (links 1–8 to TRO pages),covered,Hub page listing the eight TRO-derived bite-size pages under Rule Maker Perspective
docs/TRO.pdf,(n/a — site content NOT from TRO.pdf),,,,docs/rule-maker-perspective.md,Rule Maker Perspective,Regulation Conversion Priority through Tailoring the Guide…,not_from_tro,These guidance sections pre-exist / are separate from TRO.pdf; do not treat as TRO coverage
docs/TRO.pdf,(n/a — site image asset),,,,docs/images/tro/tro-example-school-zone.png,,Figure 2 analogue,covered,Maps from PDF Figure 2
docs/TRO.pdf,(n/a — site image asset),,,,docs/images/tro/tro-example-work-zone.png,,Figure 3 analogue,covered,Maps from PDF Figure 3
docs/TRO.pdf,(n/a — site image asset),,,,docs/images/tro/tro-example-tcd-crossing.png,,Figure 8 analogue,covered,Maps from PDF Figure 8; used on installation and representations pages
docs/TRO.pdf,(n/a — site image asset),,,,docs/images/tro/tro-example-speed-guidance.png,,Supporting physical-rule illustration,partial,Used on representations page; not a labelled PDF figure number in the extract
